05/12 17:11:24:357	Task: Right touchX: 1009 touchY: 203
05/12 17:11:24:372	Task: Right touchX: 1028 touchY: 202
05/12 17:11:24:379	Task: Right touchX: 1048 touchY: 201
05/12 17:11:24:390	Task: Right touchX: 1070 touchY: 201
05/12 17:11:24:399	Task: Right touchX: 1093 touchY: 203
05/12 17:11:24:438	Task: Right touchX: 1093 touchY: 203
05/12 17:11:26:217	Task: Right touchX: 806 touchY: 303
05/12 17:11:26:221	Task: Right touchX: 792 touchY: 299
05/12 17:11:26:233	Task: Right touchX: 778 touchY: 297
05/12 17:11:26:238	Task: Right touchX: 762 touchY: 297
05/12 17:11:26:252	Task: Right touchX: 744 touchY: 298
05/12 17:11:26:259	Task: Right touchX: 723 touchY: 301
05/12 17:11:26:274	Task: Right touchX: 699 touchY: 306
05/12 17:11:26:280	Task: Right touchX: 673 touchY: 312
05/12 17:11:26:303	Task: Right touchX: 643 touchY: 319
05/12 17:11:26:307	Task: Right touchX: 643 touchY: 319
05/12 17:33:22:372	Task: Left touchX: 641 touchY: 274
05/12 17:33:22:376	Task: Left touchX: 638 touchY: 270
05/12 17:33:22:392	Task: Left touchX: 636 touchY: 262
05/12 17:33:22:399	Task: Left touchX: 634 touchY: 255
05/12 17:33:22:412	Task: Left touchX: 633 touchY: 247
05/12 17:33:22:421	Task: Left touchX: 633 touchY: 237
05/12 17:33:22:436	Task: Left touchX: 634 touchY: 225
05/12 17:33:22:438	Task: Left touchX: 635 touchY: 211
05/12 17:33:22:453	Task: Left touchX: 637 touchY: 197
05/12 17:33:22:459	Task: Left touchX: 638 touchY: 181
05/12 17:33:22:471	Task: Left touchX: 640 touchY: 164
05/12 17:33:22:479	Task: Left touchX: 640 touchY: 164
05/12 17:33:25:727	Task: Down touchX: 1034 touchY: 183
05/12 17:33:25:731	Task: Down touchX: 1035 touchY: 183
05/12 17:33:25:741	Task: Down touchX: 1035 touchY: 183
05/12 17:33:25:761	Task: Down touchX: 1035 touchY: 187
05/12 17:33:25:768	Task: Down touchX: 1035 touchY: 192
05/12 17:33:25:781	Task: Down touchX: 1035 touchY: 199
05/12 17:33:25:789	Task: Down touchX: 1035 touchY: 208
05/12 17:33:25:801	Task: Down touchX: 1035 touchY: 219
05/12 17:33:25:808	Task: Down touchX: 1035 touchY: 233
05/12 17:33:25:825	Task: Down touchX: 1035 touchY: 249
05/12 17:33:25:833	Task: Down touchX: 1035 touchY: 268
05/12 17:33:25:879	Task: Down touchX: 1035 touchY: 289
05/12 17:33:25:841	Task: Down touchX: 1035 touchY: 289
05/12 17:33:36:074	Task: Left touchX: 1001 touchY: 298
05/12 17:33:36:078	Task: Left touchX: 999 touchY: 301
